timestamp,ontario_demand_mw,predicted_demand_mw,baseline_demand_mw,lower_90_mw,upper_90_mw,absolute_error_mw
2026-07-10 07:00:00,17923,18084.03919995414,20121.0,16986.600391756416,19645.99076229428,161.0391999541389
2026-07-10 08:00:00,18690,18453.74584347697,20290.0,17356.307035279242,20015.69740581711,236.25415652303127
2026-07-10 09:00:00,19453,18850.51839945044,21416.0,17753.079591252717,20412.469961790583,602.4816005495595
2026-07-10 10:00:00,19968,19105.994831748292,22115.0,18008.55602355057,20667.946394088434,862.0051682517078
2026-07-10 11:00:00,20459,19583.69949657736,22424.0,18486.260688379632,21145.6510589175,875.3005034226408
2026-07-10 12:00:00,20972,20279.987203875593,22693.0,19182.54839567787,21841.938766215735,692.012796124407
2026-07-10 13:00:00,21046,20182.884743805476,22944.0,19085.44593560775,21744.83630614562,863.1152561945237
2026-07-10 14:00:00,21450,19004.737590667235,22798.0,17907.29878246951,20566.689153007377,2445.262409332765
2026-07-10 15:00:00,22069,19977.655591909886,22922.0,18880.21678371216,21539.60715425003,2091.3444080901136
2026-07-10 16:00:00,22544,20466.045568801444,23857.0,19368.606760603718,22027.997131141587,2077.9544311985555
2026-07-10 17:00:00,22334,20089.826018520027,23577.0,18992.387210322304,21651.77758086017,2244.173981479973
2026-07-10 18:00:00,22096,20090.482700236098,23297.0,18993.043892038375,21652.43426257624,2005.517299763902
2026-07-10 19:00:00,21148,19937.164937749876,22735.0,18839.726129552153,21499.11650009002,1210.8350622501239
2026-07-10 20:00:00,20751,19572.289989966353,22438.0,18474.85118176863,21134.241552306496,1178.7100100336465
2026-07-10 21:00:00,19582,18962.197384753796,21480.0,17864.758576556073,20524.148947093938,619.8026152462044
2026-07-10 22:00:00,18313,18148.837068552413,20293.0,17051.39826035469,19710.788630892555,164.16293144758674
2026-07-10 23:00:00,16955,17197.489604926734,19022.0,16100.050796729009,18759.441167266876,242.4896049267336
2026-07-11 00:00:00,16106,16269.283145210491,18150.0,15171.844337012766,17831.234707550633,163.28314521049106
2026-07-11 01:00:00,15397,15789.593445559134,17562.0,14692.15463736141,17351.545007899276,392.5934455591341
2026-07-11 02:00:00,14782,15476.301352993778,17097.0,14378.862544796053,17038.25291533392,694.301352993778
2026-07-11 03:00:00,14864,15370.002742479117,16550.0,14272.563934281392,16931.95430481926,506.00274247911693
2026-07-11 04:00:00,14773,15419.046722532812,16624.0,14321.607914335087,16980.998284872956,646.046722532812
2026-07-11 05:00:00,14823,15286.392013686245,16464.0,14188.95320548852,16848.34357602639,463.39201368624526
2026-07-11 06:00:00,15459,16040.262802234902,17134.0,14942.823994037177,17602.214364575044,581.2628022349018
2026-07-11 07:00:00,16710,17048.743330654444,17816.0,15951.30452245672,18610.694892994587,338.74333065444443
2026-07-11 08:00:00,17506,17563.510432333136,18196.0,16466.07162413541,19125.46199467328,57.51043233313612
2026-07-11 09:00:00,18359,18722.306132719183,18813.0,17624.86732452146,20284.257695059325,363.30613271918264
2026-07-11 10:00:00,18934,18670.62414558508,19344.0,17573.185337387353,20232.57570792522,263.37585441492047
2026-07-11 11:00:00,19344,19029.889946521587,19431.0,17932.451138323864,20591.84150886173,314.11005347841274
2026-07-11 12:00:00,19639,19738.477636144973,19805.0,18641.038827947246,21300.429198485115,99.47763614497308
2026-07-11 13:00:00,19663,19738.477636144973,19627.0,18641.038827947246,21300.429198485115,75.47763614497308
2026-07-11 14:00:00,20003,20296.753256131615,19701.0,19199.314447933888,21858.704818471757,293.75325613161476
2026-07-11 15:00:00,20599,21272.439489468874,20059.0,20175.00068127115,22834.391051809016,673.439489468874
2026-07-11 16:00:00,21061,22291.2503965531,21027.0,21193.811588355376,23853.20195889324,1230.2503965530996
2026-07-11 17:00:00,21180,22233.14655482219,21416.0,21135.707746624466,23795.09811716233,1053.1465548221895
2026-07-11 18:00:00,21006,22233.14655482219,21021.0,21135.707746624466,23795.09811716233,1227.1465548221895
2026-07-11 19:00:00,20219,20467.704934050955,20347.0,19370.26612585323,22029.656496391097,248.70493405095476
2026-07-11 20:00:00,19451,20300.379190098476,19814.0,19202.94038190075,21862.33075243862,849.3791900984761
2026-07-11 21:00:00,18508,18935.497705635593,18983.0,17838.05889743787,20497.449267975735,427.49770563559287
2026-07-11 22:00:00,17360,17395.261710118375,17773.0,16297.82290192065,18957.213272458517,35.26171011837505
2026-07-11 23:00:00,16183,16175.282775627617,16809.0,15077.843967429892,17737.23433796776,7.717224372383498
2026-07-12 00:00:00,15433,15795.461927722226,16118.0,14698.023119524501,17357.41349006237,362.4619277222264
2026-07-12 01:00:00,14712,15252.391483618036,15580.0,14154.95267542031,16814.34304595818,540.3914836180356
2026-07-12 02:00:00,14310,14739.650920947666,15225.0,13642.212112749941,16301.60248328781,429.65092094766624
